Datum,1 EUR
02.01.2020,25.410
03.01.2020,25.360
06.01.2020,25.300
07.01.2020,25.275
08.01.2020,25.265
09.01.2020,25.255
10.01.2020,25.265
13.01.2020,25.230
14.01.2020,25.155
15.01.2020,25.145
16.01.2020,25.170
17.01.2020,25.145
20.01.2020,25.125
21.01.2020,25.065
22.01.2020,25.135
23.01.2020,25.160
24.01.2020,25.160
27.01.2020,25.230
28.01.2020,25.220
29.01.2020,25.205
30.01.2020,25.250
31.01.2020,25.210
03.02.2020,25.175
04.02.2020,25.145
05.02.2020,25.050
06.02.2020,24.895
07.02.2020,25.030
10.02.2020,25.025
11.02.2020,24.965
12.02.2020,24.875
13.02.2020,24.835
14.02.2020,24.825
17.02.2020,24.795
18.02.2020,24.900
19.02.2020,24.960
20.02.2020,25.035
21.02.2020,25.060
24.02.2020,25.190
25.02.2020,25.225
26.02.2020,25.345
27.02.2020,25.285
28.02.2020,25.390
02.03.2020,25.525
03.03.2020,25.475
04.03.2020,25.340
05.03.2020,25.355
06.03.2020,25.460
09.03.2020,25.505
10.03.2020,25.715
11.03.2020,25.770
12.03.2020,26.200
13.03.2020,26.040
16.03.2020,26.960
17.03.2020,26.980
18.03.2020,27.160
19.03.2020,27.605
20.03.2020,27.190
23.03.2020,27.635
24.03.2020,27.810
25.03.2020,27.440
26.03.2020,27.550
27.03.2020,27.300
30.03.2020,27.315
31.03.2020,27.325
01.04.2020,27.380
02.04.2020,27.555
03.04.2020,27.540
06.04.2020,27.595
07.04.2020,27.215
08.04.2020,27.200
09.04.2020,26.905
14.04.2020,26.855
15.04.2020,26.990
16.04.2020,27.055
17.04.2020,27.165
20.04.2020,27.325
21.04.2020,27.450
22.04.2020,27.530
23.04.2020,27.550
24.04.2020,27.310
27.04.2020,27.185
28.04.2020,27.225
29.04.2020,27.125
30.04.2020,27.095
04.05.2020,27.120
05.05.2020,26.985
06.05.2020,26.985
07.05.2020,27.145
11.05.2020,27.595
12.05.2020,27.420
13.05.2020,27.410
14.05.2020,27.570
15.05.2020,27.590
18.05.2020,27.610
19.05.2020,27.490
20.05.2020,27.430
21.05.2020,27.215
22.05.2020,27.210
25.05.2020,27.275
26.05.2020,27.070
27.05.2020,27.050
28.05.2020,27.015
29.05.2020,26.915
01.06.2020,26.860
02.06.2020,26.650
03.06.2020,26.660
04.06.2020,26.620
05.06.2020,26.590
08.06.2020,26.585
09.06.2020,26.635
10.06.2020,26.610
11.06.2020,26.675
12.06.2020,26.680
15.06.2020,26.680
16.06.2020,26.570
17.06.2020,26.560
18.06.2020,26.690
19.06.2020,26.685
22.06.2020,26.665
23.06.2020,26.610
24.06.2020,26.735
25.06.2020,26.795
26.06.2020,26.805
29.06.2020,26.850
30.06.2020,26.740
01.07.2020,26.670
02.07.2020,26.625
03.07.2020,26.665
07.07.2020,26.680
08.07.2020,26.745
09.07.2020,26.620
10.07.2020,26.690
13.07.2020,26.645
14.07.2020,26.635
15.07.2020,26.590
16.07.2020,26.690
17.07.2020,26.685
20.07.2020,26.600
21.07.2020,26.430
22.07.2020,26.365
23.07.2020,26.340
24.07.2020,26.265
27.07.2020,26.195
28.07.2020,26.255
29.07.2020,26.290
30.07.2020,26.250
31.07.2020,26.175
03.08.2020,26.320
04.08.2020,26.220
05.08.2020,26.090
06.08.2020,26.200
07.08.2020,26.280
10.08.2020,26.185
11.08.2020,26.155
12.08.2020,26.115
13.08.2020,26.125
14.08.2020,26.115
17.08.2020,26.140
18.08.2020,26.135
19.08.2020,26.115
20.08.2020,26.060
21.08.2020,26.085
24.08.2020,26.090
25.08.2020,26.120
26.08.2020,26.260
27.08.2020,26.270
28.08.2020,26.200
31.08.2020,26.210
01.09.2020,26.225
02.09.2020,26.340
03.09.2020,26.370
04.09.2020,26.435
07.09.2020,26.470
08.09.2020,26.520
09.09.2020,26.520
10.09.2020,26.585
11.09.2020,26.570
14.09.2020,26.660
15.09.2020,26.830
16.09.2020,26.715
17.09.2020,26.740
18.09.2020,26.725
21.09.2020,26.990
22.09.2020,27.010
23.09.2020,26.960
24.09.2020,27.015
25.09.2020,27.105
29.09.2020,27.150
30.09.2020,27.210
01.10.2020,26.905
02.10.2020,27.030
05.10.2020,27.095
06.10.2020,27.030
07.10.2020,27.065
08.10.2020,27.090
09.10.2020,27.110
12.10.2020,27.175
13.10.2020,27.360
14.10.2020,27.310
15.10.2020,27.340
16.10.2020,27.275
19.10.2020,27.345
20.10.2020,27.235
21.10.2020,27.185
22.10.2020,27.230
23.10.2020,27.220
26.10.2020,27.295
27.10.2020,27.340
29.10.2020,27.365
30.10.2020,27.250
02.11.2020,27.130
03.11.2020,26.920
04.11.2020,26.780
05.11.2020,26.770
06.11.2020,26.665
09.11.2020,26.460
10.11.2020,26.431
11.11.2020,26.445
12.11.2020,26.465
13.11.2020,26.465
16.11.2020,26.350
18.11.2020,26.400
19.11.2020,26.360
20.11.2020,26.340
23.11.2020,26.305
24.11.2020,26.260
25.11.2020,26.175
26.11.2020,26.135
27.11.2020,26.220
30.11.2020,26.190
01.12.2020,26.240
02.12.2020,26.410
03.12.2020,26.420
04.12.2020,26.520
07.12.2020,26.480
08.12.2020,26.395
09.12.2020,26.240
10.12.2020,26.305
11.12.2020,26.330
14.12.2020,26.315
15.12.2020,26.360
16.12.2020,26.200
17.12.2020,26.205
18.12.2020,26.140
21.12.2020,26.280
22.12.2020,26.300
23.12.2020,26.370
28.12.2020,26.245
29.12.2020,26.310
30.12.2020,26.250
31.12.2020,26.245
