Datum,1 USD
02.01.2020,22.702
03.01.2020,22.753
06.01.2020,22.601
07.01.2020,22.626
08.01.2020,22.739
09.01.2020,22.733
10.01.2020,22.780
13.01.2020,22.677
14.01.2020,22.634
15.01.2020,22.567
16.01.2020,22.538
17.01.2020,22.638
20.01.2020,22.667
21.01.2020,22.552
22.01.2020,22.668
23.01.2020,22.686
24.01.2020,22.798
27.01.2020,22.883
28.01.2020,22.916
29.01.2020,22.913
30.01.2020,22.894
31.01.2020,22.810
03.02.2020,22.750
04.02.2020,22.761
05.02.2020,22.732
06.02.2020,22.627
07.02.2020,22.817
10.02.2020,22.851
11.02.2020,22.897
12.02.2020,22.792
13.02.2020,22.851
14.02.2020,22.897
17.02.2020,22.883
18.02.2020,23.023
19.02.2020,23.113
20.02.2020,23.205
21.02.2020,23.206
24.02.2020,23.284
25.02.2020,23.269
26.02.2020,23.308
27.02.2020,23.062
28.02.2020,23.124
02.03.2020,22.952
03.03.2020,22.919
04.03.2020,22.779
05.03.2020,22.665
06.03.2020,22.459
09.03.2020,22.265
10.03.2020,22.570
11.03.2020,22.737
12.03.2020,23.310
13.03.2020,23.449
16.03.2020,24.169
17.03.2020,24.569
18.03.2020,24.834
19.03.2020,25.567
20.03.2020,25.406
23.03.2020,25.629
24.03.2020,25.648
25.03.2020,25.351
26.03.2020,25.084
27.03.2020,24.879
30.03.2020,24.759
31.03.2020,24.943
01.04.2020,25.039
02.04.2020,25.287
03.04.2020,25.535
06.04.2020,25.567
07.04.2020,24.995
08.04.2020,25.021
09.04.2020,24.758
14.04.2020,24.494
15.04.2020,24.751
16.04.2020,24.850
17.04.2020,25.009
20.04.2020,25.163
21.04.2020,25.330
22.04.2020,25.334
23.04.2020,25.573
24.04.2020,25.292
27.04.2020,25.050
28.04.2020,25.036
29.04.2020,25.018
30.04.2020,24.915
04.05.2020,24.785
05.05.2020,24.888
06.05.2020,24.971
07.05.2020,25.181
11.05.2020,25.498
12.05.2020,25.254
13.05.2020,25.206
14.05.2020,25.551
15.05.2020,25.553
18.05.2020,25.483
19.05.2020,25.106
20.05.2020,25.032
21.05.2020,24.741
22.05.2020,24.953
25.05.2020,25.003
26.05.2020,24.661
27.05.2020,24.609
28.05.2020,24.521
29.05.2020,24.168
01.06.2020,24.163
02.06.2020,23.850
03.06.2020,23.815
04.06.2020,23.660
05.06.2020,23.469
08.06.2020,23.555
09.06.2020,23.590
10.06.2020,23.390
11.06.2020,23.505
12.06.2020,23.601
15.06.2020,23.710
16.06.2020,23.498
17.06.2020,23.647
18.06.2020,23.786
19.06.2020,23.806
22.06.2020,23.777
23.06.2020,23.509
24.06.2020,23.701
25.06.2020,23.926
26.06.2020,23.908
29.06.2020,23.797
30.06.2020,23.879
01.07.2020,23.810
02.07.2020,23.590
03.07.2020,23.757
07.07.2020,23.630
08.07.2020,23.698
09.07.2020,23.474
10.07.2020,23.672
13.07.2020,23.520
14.07.2020,23.411
15.07.2020,23.235
16.07.2020,23.385
17.07.2020,23.351
20.07.2020,23.233
21.07.2020,23.097
22.07.2020,22.770
23.07.2020,22.766
24.07.2020,22.625
27.07.2020,22.280
28.07.2020,22.407
29.07.2020,22.424
30.07.2020,22.352
31.07.2020,22.091
03.08.2020,22.451
04.08.2020,22.287
05.08.2020,21.992
06.08.2020,22.125
07.08.2020,22.241
10.08.2020,22.262
11.08.2020,22.194
12.08.2020,22.185
13.08.2020,22.082
14.08.2020,22.105
17.08.2020,22.053
18.08.2020,21.949
19.08.2020,21.880
20.08.2020,21.992
21.08.2020,22.168
24.08.2020,22.023
25.08.2020,22.109
26.08.2020,22.272
27.08.2020,22.258
28.08.2020,21.989
31.08.2020,21.953
01.09.2020,21.882
02.09.2020,22.203
03.09.2020,22.325
04.09.2020,22.323
07.09.2020,22.386
08.09.2020,22.503
09.09.2020,22.532
10.09.2020,22.436
11.09.2020,22.411
14.09.2020,22.449
15.09.2020,22.564
16.09.2020,22.503
17.09.2020,22.669
18.09.2020,22.585
21.09.2020,22.897
22.09.2020,23.008
23.09.2020,23.055
24.09.2020,23.197
25.09.2020,23.294
29.09.2020,23.203
30.09.2020,23.239
01.10.2020,22.895
02.10.2020,23.043
05.10.2020,23.023
06.10.2020,22.917
07.10.2020,22.996
08.10.2020,23.029
09.10.2020,22.983
12.10.2020,23.029
13.10.2020,23.212
14.10.2020,23.244
15.10.2020,23.375
16.10.2020,23.232
19.10.2020,23.204
20.10.2020,23.064
21.10.2020,22.937
22.10.2020,23.035
23.10.2020,22.961
26.10.2020,23.091
27.10.2020,23.109
29.10.2020,23.381
30.10.2020,23.296
02.11.2020,23.284
03.11.2020,23.004
04.11.2020,22.849
05.11.2020,22.580
06.11.2020,22.464
09.11.2020,22.270
10.11.2020,22.389
11.11.2020,22.476
12.11.2020,22.441
13.11.2020,22.402
16.11.2020,22.276
18.11.2020,22.248
19.11.2020,22.279
20.11.2020,22.201
23.11.2020,22.101
24.11.2020,22.128
25.11.2020,22.014
26.11.2020,21.962
27.11.2020,21.993
30.11.2020,21.861
01.12.2020,21.922
02.12.2020,21.887
03.12.2020,21.748
04.12.2020,21.814
07.12.2020,21.835
08.12.2020,21.793
09.12.2020,21.672
10.12.2020,21.715
11.12.2020,21.712
14.12.2020,21.637
15.12.2020,21.712
16.12.2020,21.497
17.12.2020,21.396
18.12.2020,21.323
21.12.2020,21.590
22.12.2020,21.489
23.12.2020,21.681
28.12.2020,21.482
29.12.2020,21.462
30.12.2020,21.372
31.12.2020,21.387
